"student","course","condition","level","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"sfang3","CSC226-001-STADDON-S16","Ensemble_Delay",5,1.62850361424888,0.415980801650416,-0.458800623633275,-1.25135011300945,-2.36860943572525,0.0193121189051033,0.628860138295928,-1.12266311240825
"sfang3","CSC226-001-STADDON-S16","Ensemble_Delay",6,2.34371415822038,0.284949209295731,-0.264081575574754,-1.41570422434519,-2.31817578726936,0.162703027086284,0.587157635019175,-1.13054911485547
"mlmeeks","CSC226-001-STADDON-S16","Ensemble_Delay",1,-4.35773562228845,-1.42788394214015,0.320860021120778,0.971632109654234,0.612204498522169,0.04637120908513,0.169855027282717,0.691043653762143
"mlmeeks","CSC226-001-STADDON-S16","Ensemble_Delay",2,-3.97971583194228,-1.46134172750847,0.41339202469696,0.210486282314472,0.57934564135783,0.123331557228082,0.144939217583814,0.517910589982753
"mlmeeks","CSC226-001-STADDON-S16","Ensemble_Delay",3,-3.25297838666516,-1.75756504696515,0.571086587144213,-0.527764571628368,0.645718824888973,0.126556414060609,0.24426598813339,0.251891271376453
"mlmeeks","CSC226-001-STADDON-S16","Ensemble_Delay",4,-2.07155842237722,-1.57366670792349,0.936847479694347,-0.548558347423442,0.771318144811509,-0.0381825175758381,0.221041682316568,0.126840971457713
"mlmeeks","CSC226-001-STADDON-S16","Ensemble_Delay",5,-1.35261158041955,-1.64573418672446,0.862910543281612,-1.01304382994634,0.97140850220564,-0.164735683870004,0.262445088277008,-0.0531155144089973
"mlmeeks","CSC226-001-STADDON-S16","Ensemble_Delay",6,-0.905624436213636,-1.6126100860945,1.06826290879393,-1.37961515849562,0.995140038205956,-0.358573671743406,0.110486758893063,-0.113868576481821
"hmealey","CSC226-001-STADDON-S16","Ensemble_Delay",1,-3.24448388497408,-0.0769339272238448,-0.522371279394253,3.04866646980745,1.09977946171242,-0.816044311092589,-0.0386286701039984,-0.334281415085786
"hmealey","CSC226-001-STADDON-S16","Ensemble_Delay",2,-1.75257429783583,-0.538050185445904,-0.549453460058123,3.04227789580968,1.8293081016039,-0.647299010953647,0.140940285458994,-0.778118159071609
"hmealey","CSC226-001-STADDON-S16","Ensemble_Delay",3,-1.24595197905521,-0.243935409595696,-0.443581371092311,2.14783397006617,1.90650584756775,-0.443064850511764,0.0240809395925657,-0.91530598370576
"hmealey","CSC226-001-STADDON-S16","Ensemble_Delay",4,2.56982662433777,0.886652340924944,0.649243795978737,1.90825701464928,2.50206575515113,-0.568955737669875,0.359891218480615,-1.10837847275667
"hmealey","CSC226-001-STADDON-S16","Ensemble_Delay",5,5.24979972861114,0.43974608175952,0.8057518075582,1.05394218489775,2.74533168142045,-1.13920948046127,0.139931069638174,-1.03998519802655
"hmealey","CSC226-001-STADDON-S16","Ensemble_Delay",6,6.52689620773708,0.430938482823342,0.997423272124035,0.5888961354266,2.47603820751452,-1.06559018023929,0.349999633934362,-1.02653024253771
"nwelch2","CSC226-001-STADDON-S16","Ensemble_Delay",1,0.673369409500123,1.6424750774903,-4.83355856890376,2.52795776154122,-2.00696264210076,-0.346185765412902,1.84711630683954,-0.744455167978056
"nwelch2","CSC226-001-STADDON-S16","Ensemble_Delay",2,2.20494860078215,1.71737215429499,-4.11208841772206,2.24275250477167,-1.78567201110403,-0.925421869478144,1.64995615320188,-0.742468581080604
"nwelch2","CSC226-001-STADDON-S16","Ensemble_Delay",3,9.07911593233769,1.75259432270411,-3.35998632133224,1.49607400819529,-2.17643113594349,0.0817962871927104,1.37330575792128,-0.397885386898209
"nwelch2","CSC226-001-STADDON-S16","Ensemble_Delay",4,14.8315956929872,2.67655081488343,-2.95212349560141,-0.0196458984017677,-2.6159226505763,0.19350325985627,1.02918793311837,-0.443861889904252
"nwelch2","CSC226-001-STADDON-S16","Ensemble_Delay",5,16.7402045020057,4.1087446018424,-2.7309285718771,-0.764713072346493,-1.57668046983755,0.0941926592964106,0.617929531744621,-0.744736269593999
"nwelch2","CSC226-001-STADDON-S16","Ensemble_Delay",6,24.8236956665722,5.47194211455659,-1.82821253244677,-1.9819258318292,-2.46379052671255,0.530600219530703,0.0580957407921775,-0.0777951444689106
"hmnguye3","CSC226-001-STADDON-S16","Ensemble_Delay",1,-3.20442588884147,-2.68387655608371,0.775159311223444,0.993783568326034,0.161059898394787,0.596839910501869,0.165165810782577,0.376870799650302
"hmnguye3","CSC226-001-STADDON-S16","Ensemble_Delay",2,-2.23036550382831,-2.33940771900844,1.26505302438737,0.811613625670448,-0.18104194454361,0.50022996991542,0.0173175308515519,0.581800294607845
"hmnguye3","CSC226-001-STADDON-S16","Ensemble_Delay",3,-1.21931224836827,-2.21127454372704,1.43337514978841,-0.0554842541497147,-0.374997596101721,0.521904487409305,0.020985354873738,0.467022899976281
